   23.155.72.145   64289   0.0              (Santa Clara, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.10.10.0      *       0.346                                          ***                                                                                                     
   157.238.230.176 2914    0.928               (San Jose, California, US, NA)                                                                                                     
   157.238.227.51  2914    1.215         (East Palo Alto, California, US, NA) ae-1.digital-ocean.snjsca04.us.bb.gin.ntt.net                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   1.52             (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
