   23.155.72.145   64289   0.0              (Santa Clara, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.10.10.0      *       0.471                                          ***                                                                                                     
   206.82.104.55   *       70.956         (Morris Plains, New Jersey, US, NA)                                                                                                     
   10.64.4.218     *       73.114                                         ***                                                                                                     
   10.64.5.30      *       73.519                                         ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   208.167.242.134 20473   70.619            (Piscataway, New Jersey, US, NA) kanako.us.nat.moe                                                                                   
   141.193.21.6    46997   89.547               (Seattle, Washington, US, NA) sea01.us.nat.moe                                                                                    
   141.193.21.100  46997   89.966               (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
