   152.195.80.35   15133   0.0                     (Atlanta, Georgia, US, NA)                                                                                                     
   152.195.80.33   15133   1.218                   (Atlanta, Georgia, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.54.6.101    174     1.103                        (Atlanta, GA, US, NA) be2847.ccr41.atl01.atlas.cogentco.com                                                               
   154.54.28.70    174     14.477                       (Houston, TX, US, NA) be2687.ccr41.iah01.atlas.cogentco.com                                                               
   154.54.41.66    174     19.798             (Dallas-Fort Worth, TX, US, NA) be2441.ccr31.dfw01.atlas.cogentco.com                                                               
   154.54.28.74    174     19.856             (Dallas-Fort Worth, TX, US, NA) be2763.ccr41.dfw03.atlas.cogentco.com                                                               
   151.139.52.3    12989   19.467                        (None, None, US, NA) *                                                                                                   
   151.139.52.5    12989   19.367                        (None, None, US, NA) *                                                                                                   
   151.139.52.113  33438   19.576                     (Dallas, Texas, US, NA)                                                                                                     
