   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.172     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.487     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.63      (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.318 (2.608)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.94                     (Miami, Florida, US, NA)                                                                                                     
   84.16.8.148     12956   18.274                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   62.115.141.245  1299    48.506           (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.112.69   1299    47.058           (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   48.151               (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
