   37.143.141.141  196745  0.0                       (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
   172.22.10.219   *       0.237                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.251.248.53  5511    4.979                    (London, England, GB, EU)                                                                                                     
╭─ 193.251.143.92  5511    5.428                    (London, England, GB, EU)                                                                                                     
T (5511, 3320)  
╰─ 217.5.85.130    3320    20.876                        (None, None, DE, EU) f-ed12-i.F.DE.NET.DTAG.DE                                                                           
   87.186.182.106  15817   17.628                        (None, None, DE, EU) *                                                                                                   
   178.16.60.129   15817   24.473                        (None, None, DE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
