   149.248.18.65   20473   0.0              (Los Angeles, California, US, NA) 149.248.18.65.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.68.2.45      *       1.085                                          ***                                                                                                     
   10.68.1.13      *       0.593                                          ***                                                                                                     
   63.217.104.121  3491    0.877 (14.195)       (Los Angeles, California, US, NA) 63-217-104-121.static.pccwglobal.net                                                                
   63.223.43.66    3491    0.912                    (Los Angeles, CA, US, NA) HundredGE0-2-0-0.br04.lax05.pccwbtn.net                                                             
╭─ 63.218.51.22    58511   0.704                         (None, None, US, NA) 63-218-51-22.static.pccwglobal.net                                                                  
S (58511)  hawaiki ✘ || southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 103.30.218.166  58511   159.982                       (None, None, AU, OC) fo1-0-50.cor2.csla1.us.as58511.net                                                                  
   103.30.216.14   58511   160.087                       (None, None, AU, OC) te2-1-4.cor1.220qa.nz.as58511.net                                                                   
   103.30.216.130  *       160.162       (The Rocks, New South Wales, AU, OC) ra1.cor2.220qa.nz.as58511.net                                                                       
   103.30.216.66   58511   149.045                       (None, None, AU, OC) te1-0-37.cor1.doo.au.as58511.net                                                                    
   103.30.216.253  58511   161.025                       (None, None, AU, OC) ra4.cor1.eqsy3.au.as58511.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   103.30.218.119  58511   159.969                       (None, None, AU, OC) et-0-0-1.bdr101.ndcb1.au.as58511.net                                                                
   103.17.223.162  58511   159.737             (Brisbane, Queensland, AU, OC) ce.7005398.as132808.net.au.223.17.103.in-addr.arpa                                                  
   103.133.238.187 132808  159.976             (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
