   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.92        (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   150.164.1.129   271354  1.172       (Belo Horizonte, Minas Gerais, BR, SA) dccbdr.dcc.ufmg.br                                                                                  
   150.164.164.1   271354  0.759       (Belo Horizonte, Minas Gerais, BR, SA) isolado-gw-dcc.rede.ufmg.br                                                                         
   150.164.164.132 271354  0.705       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  0.736       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    0.666       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.643       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    0.881       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.65        (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       19.958      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    32.197                        (None, None, BR, SA) *                                                                                                   
   170.79.213.139  *       31.941    (Rio de Janeiro, Rio de Janeiro, BR, SA) cce2-cce1.bkb.rnp.br                                                                                
╭─ 170.79.213.47   *       96.147      (Belo Horizonte, Minas Gerais, BR, SA) mia2-cce2-monet.bkb.rnp.br                                                                          
S (, 174)  
╰─ 38.88.165.65    174     96.438                         (Miami, FL, US, NA) te0-1-0-5-4.ccr21.mia03.atlas.cogentco.com                                                          
   154.54.88.225   174     96.471                    (Miami, Florida, US, NA) be3081.ccr21.mia01.atlas.cogentco.com                                                               
   154.54.24.145   174     108.575                      (Atlanta, GA, US, NA) be3482.ccr41.atl01.atlas.cogentco.com                                                               
   154.54.31.26    174     114.834                    (Charlotte, NC, US, NA) be2300.rcr21.clt01.atlas.cogentco.com                                                               
   154.54.83.78    174     118.105             (Cary, North Carolina, US, NA) be2190.rcr71.rdu02.atlas.cogentco.com                                                               
   154.24.36.186   174     120.149                   (Greensboro, NC, US, NA) be2924.rcr61.gso01.atlas.cogentco.com                                                               
   154.24.71.93    174     126.457                     (Richmond, VA, US, NA) be2912.rcr01.ric01.atlas.cogentco.com                                                               
   154.24.27.74    174     127.463                     (Richmond, VA, US, NA) te0-0-2-0.nr11.b002102-0.ric01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   209.10.65.51    53907   127.139                (Ashburn, Virginia, US, NA)                                                                                                     
   209.10.80.171   30025   126.977                      (Fairfax, VA, US, NA) *                                                                                                   
   23.152.192.245  53698   127.445               (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
