   114.31.201.91   4826    0.0              (Sydney, New South Wales, AU, OC) 91.201.31.114.core.vocus.network                                                                    
   114.31.201.90   4826    0.613            (Sydney, New South Wales, AU, OC) 90.201.31.114.core.vocus.network                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   103.1.77.38     *       18.141           (Sydney, New South Wales, AU, OC) be203.lsr01.brdg.nsw.vocus.network                                                                  
   103.1.76.136    4826    17.544                        (None, None, AU, OC) be801.lsr01.bris.qld.vocus.network                                                                  
   103.1.77.193    4826    17.321                     (Brisbane, QLD, AU, OC) be202.bdr01.bne08.qld.vocus.network                                                                 
   114.31.194.41   4826    17.733              (Brisbane, Queensland, AU, OC) be103.bdr02.bne05.qld.vocus.network                                                                 
   123.103.192.110 4608    15.469                     (Brisbane, QLD, AU, OC) ip-110.192.103.123.VOCUS.net.au                                                                     
   203.119.104.61  4608    14.862              (Brisbane, Queensland, AU, OC)                                                                                                     
   203.119.111.139 4608    17.971              (Brisbane, Queensland, AU, OC) anchor.apnic.net                                                                                    
