   170.39.227.194  917     0.0                  (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   170.39.227.2    917     0.356                (Seattle, Washington, US, NA) v210.cr01.sea02.us.misaka.io                                                                        
   84.17.33.10     60068   0.884                (Seattle, Washington, US, NA) po77-3529.cr01.sea02.us.misaka.io                                                                   
   209.120.139.249 3257    11.752               (Seattle, Washington, US, NA) ae14.cr5-sea2.ip4.gtt.net                                                                           
   89.149.128.238  3257    23.438                     (Palo Alto, CA, US, NA) ae9.cr0-pao1.ip4.gtt.net                                                                            
╭─ 76.74.95.34     4648    23.428                        (None, None, US, NA) ip4.gtt.net                                                                                         
S (4648)  
╰─ 203.96.120.73   4648    22.053                        (None, None, NZ, OC) *                                                                                                   
   122.56.127.26   4648    27.841                     (Auckland, AUK, NZ, OC) ae3-10.lebr7.global-gateway.net.nz                                                                  
   122.56.119.125  4648    152.653                    (Auckland, AUK, NZ, OC) *                                                                                                   
   122.56.119.110  4648    159.874                    (Auckland, AUK, NZ, OC) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   124.157.73.186  24324   164.977    (Wellington, Wellington Region, NZ, OC)                                                                                                     
